id_0,id_1
0,43
0,261
0,532
0,656
0,706
0,720
0,800
0,893
0,943
0,960
1,21
1,140
1,277
1,380
1,398
1,522
1,550
1,796
1,917
1,994
2,225
2,469
2,543
2,551
2,644
2,858
2,908
2,932
2,951
2,985
3,7
3,374
3,723
3,773
3,797
3,842
3,866
3,903
3,953
3,965
4,122
4,206
4,335
4,467
4,685
4,772
4,874
4,915
4,971
4,976
5,76
5,374
5,554
5,664
5,723
5,874
5,884
5,928
5,935
5,980
6,214
6,281
6,610
6,698
6,769
6,803
6,847
6,940
6,968
6,987
7,3
7,41
7,120
7,520
7,551
7,713
7,749
7,890
7,908
7,952
8,374
8,575
8,598
8,749
8,829
8,842
8,866
8,883
8,959
8,983
9,67
9,415
9,639
9,659
9,742
9,750
9,903
9,929
9,945
9,965
10,263
10,446
10,690
10,760
10,788
10,874
10,879
10,883
10,894
10,921
11,93
11,182
11,231
11,255
11,284
11,611
11,905
11,916
11,925
11,962
12,640
12,695
12,698
12,711
12,754
12,778
12,849
12,856
12,868
12,938
13,128
13,174
13,206
13,248
13,618
13,621
13,744
13,822
13,904
13,948
14,103
14,492
14,515
14,532
14,638
14,641
14,789
14,795
14,955
14,974
15,191
15,490
15,627
15,632
15,678
15,692
15,709
15,853
15,858
15,976
16,366
16,443
16,699
16,765
16,767
16,793
16,840
16,953
16,973
16,997
17,196
17,393
17,473
17,542
17,602
17,750
17,762
17,826
17,968
17,981
18,332
18,574
18,623
18,667
18,728
18,795
18,815
18,904
18,917
18,995
19,75
19,208
19,295
19,668
19,700
19,782
19,794
19,856
19,898
19,973
20,44
20,378
20,434
20,657
20,764
20,774
20,801
20,805
20,972
20,979
21,1
21,30
21,140
21,386
21,521
21,547
21,796
21,825
21,856
21,892
22,414
22,446
22,706
22,709
22,757
22,760
22,936
22,938
22,964
22,983
23,234
23,346
23,373
23,456
23,558
23,733
23,798
23,840
23,847
23,970
24,281
24,395
24,401
24,469
24,576
24,677
24,797
24,897
24,955
24,960
25,385
25,664
25,682
25,714
25,825
25,871
25,876
25,899
25,952
25,991
26,199
26,224
26,300
26,657
26,701
26,727
26,730
26,847
26,898
26,932
27,344
27,488
27,534
27,607
27,622
27,666
27,738
27,781
27,807
27,955
28,133
28,297
28,473
28,485
28,688
28,701
28,709
28,945
28,954
28,985
29,97
29,121
29,185
29,232
29,465
29,623
29,852
29,894
29,953
29,994
30,21
30,375
30,404
30,597
30,781
30,870
30,873
30,889
30,927
30,962
31,404
31,451
31,523
31,573
31,641
31,858
31,896
31,903
31,929
31,986
32,309
32,406
32,422
32,492
32,682
32,721
32,832
32,861
32,886
32,909
33,198
33,243
33,515
33,840
33,881
33,893
33,898
33,932
33,986
33,990
34,283
34,337
34,657
34,669
34,745
34,770
34,790
34,801
34,865
34,890
35,116
35,163
35,258
35,500
35,556
35,560
35,606
35,832
35,928
35,990
36,293
36,554
36,606
36,614
36,732
36,834
36,884
36,920
36,975
36,985
37,59
37,220
37,232
37,661
37,674
37,836
37,858
37,887
37,949
37,981
38,343
38,582
38,702
38,760
38,800
38,843
38,869
38,890
38,895
38,937
39,181
39,495
39,499
39,641
39,643
39,703
39,820
39,856
39,904
39,917
40,215
40,509
40,539
40,547
40,677
40,801
40,803
40,829
40,872
40,995
41,7
41,359
41,584
41,592
41,680
41,803
41,873
41,878
41,921
41,984
42,52
42,289
42,479
42,531
42,564
42,703
42,720
42,743
42,841
42,981
43,0
43,130
43,407
43,546
43,551
43,723
43,759
43,835
43,957
43,994
44,20
44,179
44,324
44,341
44,700
44,704
44,763
44,832
44,861
44,882
45,188
45,233
45,234
45,257
45,550
45,824
45,884
45,915
45,936
45,980
46,97
46,146
46,262
46,338
46,407
46,553
46,602
46,869
46,881
46,929
47,245
47,283
47,386
47,598
47,811
47,952
47,954
47,969
47,987
47,989
48,380
48,648
48,696
48,720
48,738
48,804
48,844
48,850
48,904
48,966
49,399
49,545
49,747
49,815
49,835
49,848
49,873
49,938
49,954
49,993
50,487
50,547
50,672
50,696
50,846
50,954
50,960
50,967
50,968
50,988
51,320
51,334
51,598
51,736
51,781
51,858
51,903
51,930
51,979
51,991
52,42
52,220
52,221
52,293
52,679
52,897
52,910
52,932
52,957
52,980
53,161
53,359
53,515
53,527
53,786
53,823
53,857
53,894
53,947
53,966
54,72
54,249
54,395
54,492
54,567
54,906
54,956
54,974
54,977
54,987
55,79
55,178
55,307
55,323
55,512
55,565
55,772
55,777
55,839
55,946
56,84
56,279
56,405
56,412
56,630
56,762
56,868
56,893
56,895
56,970
57,91
57,187
57,262
57,333
57,630
57,758
57,915
57,944
57,956
57,960
58,157
58,289
58,482
58,609
58,670
58,855
58,886
58,894
58,937
58,958
59,37
59,207
59,447
59,550
59,624
59,643
59,825
59,846
59,868
59,947
60,176
60,321
60,489
60,652
60,844
60,900
60,919
60,962
60,979
60,988
61,103
61,249
61,379
61,514
61,856
61,863
61,966
61,969
61,977
61,999
62,219
62,517
62,853
62,892
62,893
62,926
62,945
62,966
62,969
62,994
63,164
63,468
63,763
63,804
63,863
63,878
63,904
63,936
63,942
63,951
64,207
64,550
64,587
64,654
64,679
64,757
64,771
64,805
64,861
64,975
65,252
65,253
65,257
65,368
65,755
65,834
65,913
65,952
65,971
65,977
66,107
66,203
66,307
66,409
66,497
66,549
66,567
66,623
66,918
66,990
67,9
67,119
67,184
67,343
67,403
67,423
67,603
67,756
67,763
67,896
68,216
68,517
68,596
68,607
68,634
68,895
68,899
68,928
68,940
68,990
69,156
69,241
69,531
69,583
69,725
69,738
69,745
69,878
69,903
69,996
70,148
70,377
70,385
70,653
70,805
70,828
70,855
70,924
70,936
70,963
71,82
71,303
71,434
71,471
71,655
71,760
71,773
71,864
71,943
71,956
72,54
72,113
72,456
72,610
72,692
72,728
72,788
72,818
72,994
72,999
73,458
73,534
73,587
73,810
73,847
73,888
73,890
73,925
73,955
73,957
74,150
74,274
74,350
74,352
74,501
74,764
74,871
74,903
74,943
74,956
75,19
75,298
75,444
75,464
75,607
75,764
75,835
75,838
75,943
75,956
76,5
76,180
76,311
76,374
76,548
76,579
76,704
76,718
76,849
76,940
77,388
77,554
77,587
77,588
77,653
77,719
77,720
77,725
77,897
77,962
78,87
78,237
78,462
78,586
78,844
78,893
78,915
78,926
78,992
78,993
79,55
79,207
79,369
79,649
79,805
79,894
79,904
79,906
79,956
79,971
80,181
80,219
80,244
80,265
80,342
80,397
80,636
80,663
80,696
80,848
81,207
81,221
81,354
81,493
81,710
81,847
81,948
81,974
81,991
81,995
82,71
82,239
82,524
82,571
82,586
82,716
82,817
82,836
82,879
82,918
83,103
83,613
83,710
83,718
83,819
83,897
83,930
83,940
83,958
83,980
84,56
84,316
84,432
84,595
84,759
84,795
84,889
84,894
84,908
84,979
85,292
85,356
85,407
85,838
85,851
85,907
85,920
85,931
85,946
85,996
86,314
86,420
86,584
86,716
86,735
86,776
86,894
86,922
86,926
86,999
87,78
87,289
87,339
87,426
87,613
87,677
87,880
87,965
87,974
87,997
88,131
88,640
88,804
88,819
88,830
88,893
88,895
88,916
88,923
88,995
89,110
89,137
89,176
89,596
89,691
89,731
89,744
89,815
89,945
89,978
90,150
90,229
90,282
90,332
90,410
90,498
90,537
90,734
90,958
90,961
91,57
91,512
91,659
91,741
91,807
91,927
91,942
91,952
91,983
91,984
92,286
92,309
92,457
92,655
92,789
92,803
92,816
92,822
92,933
92,953
93,11
93,201
93,424
93,558
93,825
93,832
93,899
93,915
93,977
93,985
94,227
94,532
94,587
94,641
94,776
94,788
94,835
94,884
94,934
94,960
95,226
95,414
95,465
95,543
95,566
95,705
95,753
95,759
95,766
95,859
96,504
96,885
96,894
96,922
96,923
96,934
96,942
96,957
96,989
96,997
97,29
97,46
97,236
97,267
97,314
97,694
97,848
97,882
97,921
97,981
98,291
98,416
98,417
98,619
98,743
98,762
98,884
98,945
98,948
98,970
99,104
99,190
99,251
99,341
99,458
99,491
99,672
99,799
99,836
99,884
100,283
100,445
100,615
100,622
100,703
100,807
100,880
100,930
100,934
100,982
101,204
101,370
101,380
101,614
101,814
101,835
101,915
101,954
101,956
101,970
102,388
102,568
102,573
102,748
102,820
102,835
102,836
102,837
102,854
102,888
103,14
103,61
103,83
103,366
103,626
103,771
103,862
103,917
103,965
103,997
104,99
104,197
104,232
104,431
104,718
104,774
104,877
104,932
104,944
104,964
105,365
105,403
105,549
105,647
105,651
105,806
105,922
105,938
105,956
105,993
106,264
106,589
106,604
106,675
106,797
106,829
106,856
106,860
106,970
106,982
107,66
107,439
107,512
107,593
107,726
107,762
107,842
107,903
107,977
107,999
108,366
108,485
108,643
108,747
108,785
108,815
108,868
108,873
108,929
108,955
109,136
109,191
109,364
109,376
109,605
109,635
109,685
109,805
109,867
109,942
109,950
