id_0,id_1
0,55
0,228
0,312
0,340
0,360
0,376
0,503
0,738
0,826
0,964
1,389
1,622
1,687
1,846
1,853
1,865
1,875
1,893
1,907
1,970
2,283
2,358
2,464
2,609
2,656
2,699
2,791
2,795
2,852
2,910
3,331
3,653
3,722
3,793
3,803
3,860
3,936
3,941
3,944
3,994
4,41
4,277
4,413
4,572
4,583
4,612
4,744
4,874
4,878
4,944
5,160
5,348
5,770
5,811
5,814
5,868
5,884
5,889
5,896
5,908
6,68
6,205
6,224
6,318
6,328
6,416
6,456
6,581
6,649
6,835
7,354
7,533
7,585
7,637
7,850
7,862
7,887
7,971
7,977
7,992
8,239
8,543
8,778
8,859
8,884
8,898
8,909
8,913
8,935
8,995
9,163
9,290
9,655
9,705
9,727
9,750
9,760
9,785
9,786
9,887
10,91
10,155
10,341
10,583
10,631
10,785
10,819
10,874
10,876
10,993
11,35
11,257
11,305
11,504
11,798
11,893
11,959
11,968
11,970
11,997
12,30
12,62
12,156
12,257
12,346
12,434
12,533
12,936
12,955
12,992
13,161
13,227
13,488
13,670
13,679
13,697
13,801
13,890
13,891
13,896
14,358
14,787
14,794
14,822
14,883
14,923
14,938
14,968
14,970
14,972
15,105
15,259
15,670
15,681
15,696
15,801
15,812
15,844
15,891
15,896
16,229
16,489
16,696
16,836
16,847
16,863
16,937
16,971
16,985
16,995
17,214
17,395
17,409
17,482
17,753
17,780
17,798
17,867
17,919
17,986
18,323
18,455
18,553
18,604
18,632
18,637
18,702
18,773
18,830
18,863
19,24
19,33
19,316
19,411
19,531
19,740
19,763
19,867
19,927
19,966
20,57
20,275
20,469
20,807
20,818
20,896
20,908
20,946
20,971
20,991
21,55
21,69
21,114
21,175
21,385
21,468
21,516
21,749
21,951
21,989
22,565
22,830
22,888
22,900
22,920
22,946
22,950
22,968
22,970
22,997
23,348
23,358
23,479
23,667
23,886
23,922
23,926
23,932
23,982
23,994
24,19
24,532
24,615
24,627
24,705
24,727
24,760
24,786
24,840
24,917
25,631
25,674
25,795
25,796
25,803
