degree distribution (probability density function of the degree in logarithmic bins) 
10.5367	0.124843
12.451	0.0745939
14.9241	0.0601842
17.89	0.035336
20.9865	0.0222614
24.4074	0.0207448
28.4328	0.0146084
33.3939	0.0122511
39.5	0.00853348
45.2895	0.00511233
50	0.00045814

degree distribution (degree-occurrences) 
10	0.101
11	0.117
12	0.084
13	0.069
14	0.054
15	0.048
16	0.043
17	0.044
18	0.023
19	0.033
20	0.027
21	0.021
22	0.026
23	0.025
24	0.019
25	0.016
26	0.021
27	0.019
28	0.016
29	0.016
30	0.016
31	0.009
32	0.012
33	0.017
34	0.01
35	0.008
36	0.01
37	0.01
38	0.01
39	0.004
40	0.012
41	0.009
42	0.009
43	0.009
44	0.01
45	0.002
46	0.007
47	0.002
48	0.004
49	0.004
50	0.004


--------------------------------------
community distribution (size-occurrences)
20	0.0606061
21	0.0606061
22	0.121212
23	0.030303
24	0.030303
25	0.0606061
26	0.030303
27	0.121212
28	0.030303
29	0.030303
30	0.030303
32	0.0606061
35	0.030303
36	0.0606061
38	0.030303
39	0.030303
40	0.0606061
44	0.030303
45	0.030303
46	0.030303
49	0.030303


--------------------------------------
mixing parameter
0.454545	0.002
0.5	0.001
0.533333	0.001
0.543656	0.07
0.56063	0.026
0.571945	0.061
0.585207	0.206
0.599144	0.275
0.611507	0.158
0.625211	0.079
0.638285	0.098
0.647059	0.007
0.666667	0.012
0.694872	0.003
0.727273	0.001

--------------------------------------
